"","Datum","Uhrzeit","Pegel","Datum2","X.1","X"
"1","8. August 2022","23:57",0.93,"2022-08-08",NA,NA
"2","8. August 2022","22:17",0.93,"2022-08-08",NA,NA
"3","9. August 2022","8:52",0.94,"2022-08-09",NA,NA
"4","9. August 2022","9:17",0.9,"2022-08-09",NA,NA
"5","9. August 2022","9:37",0.94,"2022-08-09",NA,NA
"6","8. August 2022","23:57",0.93,"2022-08-08",1,NA
"7","8. August 2022","22:17",0.93,"2022-08-08",2,NA
"8","9. August 2022","8:52",0.94,"2022-08-09",3,NA
"9","9. August 2022","9:17",0.9,"2022-08-09",4,NA
"10","8. August 2022","23:57",0.93,"2022-08-08",5,1
"11","8. August 2022","22:17",0.93,"2022-08-08",6,2
"12","9. August 2022","8:52",0.94,"2022-08-09",7,3
